id,title,year,bases,problem,attack,methods,modeling
1,ON THE VERIFICATION OF INTRANSITIVE NONINTERFERENCE IN MULITLEVEL SECURITY,2005,Complementary,attack detection and mitigation,denial of service,intransitive noninterference (INI),finite-state automata
2,INTRUSION DETECTION IN CONTROLLED DISCRETE EVENT SYSTEMS,2006,IEEExplore-Scopus-Web of Science,attack detection and mitigation,actuator,sct,finite-state automata
3,CONSTRUCTION OF FALSE SEQUENCE ATTACK AGAINST PLC BASED POWER CONTROL SYSTEM,2016,IEEExplore,attack model,sensor,identification algorithm,finite-state automata
4,DETECTION AND PREVENTION OF ACTUATOR ENABLEMENT ATTACKS IN SUPERVISORY CONTROL SYSTEMS,2016,IEEExplore,attack detection and mitigation,actuator,sct,finite-state automata
5,A CYBER ATTACK MODEL WITH BOUNDED SENSOR READING ALTERATIONS,2017,Engineering Village-IEEExplore-Scopus-Web of Science,attack model,sensor,Finite state transducers,finite-state automata
6,SECURITY AGAINST NETWORK ATTACKS IN SUPERVISORY CONTROL SYSTEMS,2017,Scopus-Science Direct-Web of Science,attack detection and mitigation,sensor-actuator,sct,finite-state automata
7,STEALTHY DECEPTION ATTACKS FOR CYBER-PHYSICAL SYSTEMS,2017,IEEExplore-Scopus-Web of Science,attack model,sensor,game theory-sct,finite-state automata
8,SUPERVISORY CONTROL OF DISCRETE-EVENT SYSTEMS UNDER ATTACKS,2017,Engineering Village-Scopus-Web of Science,supervisor synthesis,sensor,game theory-sct,finite-state automata
9,DETECTABLE AND UNDETECTABLE NETWORK ATTACK SECURITY OF CYBER-PHYSICAL SYSTEMS,2018,Scopus-Science Direct-Web of Science,attack detection and mitigation,sensor-actuator,sct,finite-state automata
10,DETECTION AND MITIGATION OF CLASSES OF ATTACKS IN SUPERVISORY CONTROL SYSTEMS,2018,Scopus-Science Direct-Web of Science,attack detection and mitigation,sensor-actuator,sct,finite-state automata
11,MODELING AND DETECTION OF CYBER ATTACKS ON DISCRETE EVENT SYSTEMS,2018,Scopus-Science Direct-Web of Science,attack detection and mitigation,sensor-actuator,permutation matrices ,petri nets
12,STEALTHY ATTACKS FOR PARTIALLY-OBSERVED DISCRETE EVENT SYSTEMS,2018,IEEExplore-Scopus-Web of Science,attack model,sensor,sct,finite-state automata
13,SUPERVISOR SYNTHESIS TO THWART CYBER ATTACK WITH BOUNDED SENSOR READING ALTERATIONS,2018,Engineering Village-Scopus-Science Direct-Web of Science,supervisor synthesis,sensor,sct,finite-state automata
14,ATTACK-RESILIENT SUPERVISORY CONTROL WITH INTERMITTENTLY SECURE COMMUNICATION,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,Finite state transducers,finite-state automata
