id,title,year,bases,problem,attack,methods,modeling
1,INTRUSION DETECTION IN CONTROLLED DISCRETE EVENT SYSTEMS,2006,IEEExplore-Scopus-Web of Science,attack detection and mitigation,actuator,sct,deterministic finite-state automata
2,OPACITY ENFORCING CONTROL SYNTHESIS,2008,IEEExplore-Scopus-Web of Science,secrecy,passive,opacity enforcement-sct,Labelled Transitions Systems (LTS)
3,OPACITY-ENFORCING SUPERVISORY STRATEGIES FOR SECURE DISCRETE EVENT SYSTEMS,2008,IEEExplore-Scopus-Web of Science,secrecy,passive,initial state opacity enforcement,non-deterministic finite-state automata
4,VERIFICATION OF INITIAL-STATE OPACITY IN SECURITY APPLICATIONS OF DES,2008,IEEExplore-Scopus-Web of Science,secrecy,passive,initial state opacity verification,deterministic finite-state automata
5,MONITORING CONFIDENTIALITY BY DIAGNOSIS TECHNIQUES,2009,IEEExplore-Scopus,secrecy,passive,opacity verification-diagnosability-predictability,Labelled Transitions Systems (LTS)
6,VERIFICATION OF INFINITE-STEP OPACITY AND ANALYSIS OF ITS COMPLEXITY,2009,Scopus,secrecy,passive,Verification of Infinite Step Opacity,non deterministic finite state automata
7,VERIFICATION OF K-STEP OPACITY AND ANALYSIS OF ITS COMPLEXITY,2009,IEEExplore-Scopus-Web of Science,secrecy,passive,k step opacity verification,non-deterministic finite-state automata
8,OPACITY VERIFICATION IN STOCHASTIC DISCRETE EVENT SYSTEMS,2010,IEEExplore-Scopus-Web of Science,secrecy,passive,opacity verification-step based almost current-state opacity,probabilistic finite state automata
9,REDUCED-COMPLEXITY VERIFICATION FOR INITIAL-STATE OPACITY IN MODULAR DISCRETE EVENT SYSTEMS,2010,Scopus-Science Direct,secrecy,passive,verification of initial state opacity,non deterministic finite state automata
10,VERIFICATION OF $K$-STEP OPACITY AND ANALYSIS OF ITS COMPLEXITY (2011),2011,IEEExplore-Scopus-Web of Science,secrecy,passive,k step opacity verification,non-deterministic finite-state automata
11,ENFORCEMENT OF OPACITY PROPERTIES USING INSERTION FUNCTIONS,2012,IEEExplore-Scopus-Web of Science,secrecy,passive,"opacity enforcement, insertion function",deterministic finite-state automata
12,RESOLUTION OF INITIAL-STATE IN SECURITY APPLICATIONS OF DES,2012,IEEExplore-Scopus,secrecy,passive,initial state resolution-state estimation,non-deterministic finite-state automata
13,VERIFICATION OF INFINITE-STEP OPACITY AND COMPLEXITY CONSIDERATIONS,2012,IEEExplore-Scopus-Web of Science,secrecy,passive,infinite step opacity verification,non-deterministic finite-state automata
14,INITIAL STATE OPACITY IN STOCHASTIC DES,2013,IEEExplore-Scopus,secrecy,passive,opacity verification-step based almost initial state opacity,probabilistic finite state automata
15,VERIFICATION OF INITIAL-STATE OPACITY IN SECURITY APPLICATIONS OF DISCRETE EVENT SYSTEMS,2013,Scopus-Science Direct-Web of Science,secrecy,passive,verification of initial state opacity,non deterministic finite state automata
16,AN ON-THE-FLY APPROACH FOR THE VERIFICATION OF OPACITY IN CRITICAL SYSTEMS,2014,Web of Science,secrecy,passive,opacity verification,Labeled Transition System (LTS)
17,CURRENT-STATE OPACITY FORMULATIONS IN PROBABILISTIC FINITE AUTOMATA,2014,IEEExplore-Scopus-Web of Science,secrecy,passive,opacity verification-probabilistic current state opacity,probabilistic finite state automata
18,OPACITY FORMULATIONS AND VERIFICATION IN DISCRETE EVENT SYSTEMS,2014,IEEExplore-Scopus-Web of Science,review,review,review,review
19,SYNTHESIS OF INSERTION FUNCTIONS FOR ENFORCEMENT OF OPACITY SECURITY PROPERTIES,2014,Scopus-Science Direct-Web of Science,secrecy,passive,opacity enforcement,deterministic finite state automata
20,VERIFICATION OF CURRENT-STATE OPACITY USING PETRI NETS,2015,IEEExplore-Scopus-Web of Science,secrecy,passive,verification of current state opacity,petri nets
21,VERIFICATION OF INITIAL-STATE OPACITY IN PETRI NETS,2015,IEEExplore-Scopus-Web of Science,secrecy,passive,verification of initial state opacity,petri nets
22,CONSTRUCTION OF FALSE SEQUENCE ATTACK AGAINST PLC BASED POWER CONTROL SYSTEM,2016,IEEExplore,attack model,sensor,identification algorithm,Non-Deterministic Autonomous Automaton with Output (NDAAO)
23,DETECTION AND PREVENTION OF ACTUATOR ENABLEMENT ATTACKS IN SUPERVISORY CONTROL SYSTEMS,2016,IEEExplore,attack detection and mitigation,actuator,sct,deterministic finite state automata
24,ENFORCEMENT OF OPACITY SECURITY PROPERTIES FOR SHIP INFORMATION SYSTEM,2016,Web of Science,secrecy,passive,opacity enforcement,deterministic finite state automata
